method,topic,rank,node,pagerank
OpenIE (Baseline),ALL,1,元,0.010239088949349131
OpenIE (Baseline),ALL,2,什么,0.007339290757929987
OpenIE (Baseline),ALL,3,作用,0.006306854535381995
OpenIE (Baseline),ALL,4,特朗普,0.004903834102298424
OpenIE (Baseline),ALL,5,金,0.004894021826928369
OpenIE (Baseline),ALL,6,问题,0.004558913293726608
OpenIE (Baseline),ALL,7,死刑,0.004164031422801293
OpenIE (Baseline),ALL,8,人,0.00410277881111495
OpenIE (Baseline),ALL,9,影响,0.0034836820680134873
OpenIE (Baseline),ALL,10,地震,0.0034802994659659174
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,1,走势,0.012850065281616444
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,2,态势,0.010540873512717656
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,3,市,0.010478818806913844
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,4,位,0.00978789458338525
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,5,股,0.009081815090471653
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,6,点,0.008930618612620319
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,7,昨日,0.008427800164400994
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,8,地方,0.007716655714082411
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,9,利好,0.007509950531913266
OpenIE (Baseline),Topic_A股下跌沪指跌破3400点,10,会,0.007194150948043741
OpenIE (Baseline),Topic_中国38个国家免签,1,国家,0.07493750571444206
OpenIE (Baseline),Topic_中国38个国家免签,2,存度,0.04783245045602684
OpenIE (Baseline),Topic_中国38个国家免签,3,力,0.019372142434690872
OpenIE (Baseline),Topic_中国38个国家免签,4,。inpadevellikenmargin二potostasefrefort,0.018457346819719358
OpenIE (Baseline),Topic_中国38个国家免签,5,机会,0.016264182973569706
OpenIE (Baseline),Topic_中国38个国家免签,6,日,0.014691792776697084
OpenIE (Baseline),Topic_中国38个国家免签,7,环境,0.014543495983504242
OpenIE (Baseline),Topic_中国38个国家免签,8,小时,0.014066551261168667
OpenIE (Baseline),Topic_中国38个国家免签,9,槛,0.013273505001547451
OpenIE (Baseline),Topic_中国38个国家免签,10,省份,0.013273505001547451
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,1,死刑,0.08582032863849125
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,2,白,0.03774979458159313
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,3,CHA,0.01573924389289033
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,4,部,0.009181817090469155
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,5,中国,0.008658184345267762
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,6,教授,0.008507699401562341
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,7,建议,0.008507699401562341
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,8,人,0.006792099076432727
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,9,惩,0.005870452273566409
OpenIE (Baseline),Topic_中国加拿大毒贩死刑,10,回应,0.005806048189737133
OpenIE (Baseline),Topic_中国发现世界最大金矿,1,观点,0.013172148557937144
OpenIE (Baseline),Topic_中国发现世界最大金矿,2,师,0.013172148557937144
OpenIE (Baseline),Topic_中国发现世界最大金矿,3,民族,0.013172148557937144
